江		Jiang1	Giang		họ [Jiang1]			44	pn,mt
春		chun1	xuân		mùa xuân/vui tươi/hân hoan/trẻ trung/tình yêu/dục vọng/sự sống			43	mt
兴	興	xing4	hứng		cảm giác hoặc khao khát làm gì đó/hứng thú với điều gì/phấn khích			43	mt
雪		Xue3	Tuyết		họ [Xue3]			43	pn,mt
春		Chun1	Xuân		họ [Chun1]			43	pn,mt
是	昰	shi4			biến thể của 是[shi4]			42	var,mt,nostroke
绿	綠	lu4	lục		dùng trong names			41	usedin
兴	興	xing1	hưng		trỗi dậy/phát triển/thịnh hành/bắt đầu/khích lệ/ngủ dậy/(thường dùng trong câu phủ định) cho phép hoặc đồng ý (tiếng địa phương)/có lẽ (tiếng địa phương)			41	mt
医	醫	yi1	y		y học/y tế/bác sĩ/chữa trị/điều trị			41	mt
律		lu:4	luật		luật			41	mt
兴	興	Xing1	Hưng		họ [Xing1]			41	pn,mt
西安		Xi1 an1	Tây An		Tây An, thành phố cấp phó tỉnh và là thủ phủ của tỉnh Thiểm Tây 陝西省|陕西省[Shan3 xi1 Sheng3] ở tây bắc Trung Quốc/xem 西安區|西安区[Xi1 an1 Qu1]			41	pn,usedin,mt
律		Lu:4	Luật		họ [Lu:4]			40	pn,mt
安徽		An1 hui1	An Huy		Tỉnh An Huy, tên gọi tắt 皖[Wan3], thủ phủ Hợp Phì 合肥[He2 fei2]			39	pn,usedin,mt
乐	樂	lao4	lạc		dùng trong place names			39	usedin,hvlow
平安		Ping2 an1	Bình An		xem 平安區|平安区[Ping2 an1 Qu1]			39	pn,usedin
和	咊	he2	hoà		biến thể cũ của 和[he2]			39	var,mt,nostroke
麻	蔴	ma2	ma		biến thể của 麻[ma2]/cây gai			39	mt,nostroke
了	瞭	liao4	liêu		biến thể không chính thức của 瞭[liao4]			38	var,mt
冬		dong1	đông		mùa đông			38	mt
冬	鼕	dong1	đông		(tượng thanh) đánh trống/thùng thùng			38	mt
麻		Ma2	Ma		họ [Ma2]			38	pn,mt
学生会	學生會	xue2 sheng5 hui4	học sinh hội		hội sinh viên			38	mt
冬		Dong1	Đông		họ [Dong1]			38	pn,mt
岸边	岸邊	an4 bian1	ngạn biên		bờ			37	mt
骂人	罵人	ma4 ren2	mạ nhân		chửi rủa hoặc nguyền rủa (người)/mắng hoặc la mắng ai đó			36	mt
说	説	shuo1	thuyết		biến thể của 說|说[shuo1]			36	var,mt,nostroke
个	箇	ge4	cá		biến thể của 個|个[ge4]			34	var,mt,nostroke
谢意	謝意	xie4 yi4	tạ ý		lòng biết ơn/cảm ơn			33	mt
以	㕥	yi3			biến thể cũ của 以[yi3]			32	var,mt,nostroke
以	㠯	yi3	dĩ		biến thể cũ của 以[yi3]			32	var,mt
致谢	致謝	zhi4 xie4	trí tạ		bày tỏ lòng biết ơn/cảm ơn/thư cảm ơn/lời cảm ơn			32	mt
里	裏	li3	lý		trong; bên trong; phía trong/(đặt sau danh từ, chỉ nơi chốn) trong… (vd. 房间里: trong phòng)/lớp lót; mặt trong (áo, chăn…)			31	var,cur-ai
那		na3	nả		biến thể của 哪[na3]			30	var,mt
吃	喫	chi1	khiết		biến thể của 吃[chi1]			27	var,mt,nostroke
话	諙	hua4	thoại		biến thể cũ của 話|话[hua4]			27	var,mt,nostroke
了解	瞭解	liao3 jie3	liễu giải		hiểu/nhận ra/tìm hiểu			24	var,mt
回	逥	hui2			biến thể của 迴|回[hui2]			24	var,mt,nostroke
干	乹	gan1	can		biến thể cũ của 乾|干[gan1]			23	var,mt
干	亁	gan1	can		biến thể của 乾|干[gan1]			23	var,mt,nostroke
电视台	電視臺	dian4 shi4 tai2	điện thị đài		đài truyền hình/Lượng từ: 个 (gè)			20	var,mt
骂	駡	ma4	mạ		biến thể của 罵|骂[ma4]			18	var,mt,nostroke
呣		m2	mô		thán từ biểu thị câu hỏi			17	mt
呣		m4	mô		thán từ biểu thị sự đồng ý/ừm			17	mt
暗	晻	an4	ám		biến thể của 暗[an4]			14	var,mt,nostroke
春	旾	chun1	xuân		biến thể cũ của 春[chun1]			13	var,mt,nostroke
岸	㟁	an4			biến thể của 岸[an4]			9	var,mt,nostroke
乾		qian2	càn	kiền	một trong Bát Quái 八卦[ba1 gua4], tượng trưng cho trời/nguyên lý nam/☰/hướng la bàn cổ đại Trung Quốc: 315° (tây bắc)			0	mt
AA制		AA zhi4				to split the bill; to go Dutch		0	en
乾		Qian2	Càn	Kiền	họ [Qian2]			0	pn,mt
乾	乹	qian2	càn	kiền	biến thể cũ của 乾[qian2]			0	var,mt
乾	亁	qian2	can		biến thể của 乾[qian2]			0	var,mt,nostroke
