# Vietnamese glosses for HSK 1–2 words, and for the few HSK and frequent entries that had no Vietnamese (Chinese notebook dictionary)
# License: CC BY-SA 4.0 (https://creativecommons.org/licenses/by-sa/4.0/)
# Derived from CC-CEDICT (https://cc-cedict.org, CC BY-SA 4.0) and CVDICT (Vietnamese translation of CC-CEDICT, CC BY-SA 4.0).
# Drafted by Claude (AI), 2026-09. status "ai-draft" = AI-drafted, awaiting human review ("hiệu đính bởi AI, chờ duyệt");
# "reviewed" = checked by the project owner ("đã hiệu đính") — only the owner sets it. Changes: CHANGELOG.md.
# Format: UTF-8 (NFC), LF, tab-separated. Lines starting with "#" are comments.
# vi: senses separated by "/", near-synonyms inside a sense by "; ", examples as "(vd. 汉字: nghĩa)", classifiers as last sense "Lượng từ: 个 (gè)".
# 1291 keys (CC-CEDICT key "trad|simp[pinyin]"). A gloss keyed to a form the HSK list names that is now only a variant (複習) follows the tag to the main form (復習); key it to the main form when you can.
key	vi	source	status
別人|别人[bie2 ren5]	người khác; những người khác	claude-2026-09	ai-draft
病|病[bing4]	bệnh; bệnh tật/bị ốm; bị bệnh; ngã bệnh/lỗi; khuyết điểm; tật/Lượng từ: 场 (cháng)	claude-2026-09	ai-draft
病人|病人[bing4 ren2]	người bệnh; bệnh nhân; người ốm/Lượng từ: 个 (gè)	claude-2026-09	ai-draft
不大|不大[bu4 da4]	không … lắm; không quá (vd. 不大清楚: không rõ lắm)/ít khi; không hay (làm việc gì)	claude-2026-09	ai-draft
不對|不对[bu4 dui4]	không đúng; sai/không bình thường; không ổn; có vấn đề; lạ	claude-2026-09	ai-draft
不客氣|不客气[bu4 ke4 qi5]	không có gì; đừng khách sáo (đáp lại lời cảm ơn)/bất lịch sự; thô lỗ; không nể nang	claude-2026-09	ai-draft
不用|不用[bu4 yong4]	không cần; khỏi (làm việc gì)	claude-2026-09	ai-draft
不|不[bu4]	(phó từ phủ định, đặt trước động từ, tính từ) không; chẳng/không; không phải (dùng để trả lời phủ định)/(trong từ ghép) bất-; không	claude-2026-09	ai-draft
菜|菜[cai4]	món ăn; thức ăn/rau; rau xanh/(khẩu ngữ, nói về trình độ, kỹ năng) kém; yếu; non tay/(khẩu ngữ) gu; mẫu người (mình thích, vd. 不是我的菜: không phải gu của tôi)/Lượng từ: 道 (dào), 盘 (pán), 样 (yàng), 棵 (kē)	claude-2026-09	ai-draft
茶|茶[cha2]	trà; chè; nước trà/cây chè; cây trà/Lượng từ: 杯 (bēi), 壶 (hú)	claude-2026-09	ai-draft
差|差[cha4]	kém; tồi; dở/thiếu; còn thiếu; kém (vd. 差五分八点: tám giờ kém năm)/khác; chênh lệch/sai; nhầm	claude-2026-09	ai-draft
常|常[chang2]	thường; hay; thường xuyên/bình thường; thông thường (vd. 常人: người bình thường)/không đổi; cố định; lâu dài	claude-2026-09	ai-draft
常常|常常[chang2 chang2]	thường; thường xuyên; hay	claude-2026-09	ai-draft
唱|唱[chang4]	hát/hô to; xướng (tên, số…)/ngâm; tụng	claude-2026-09	ai-draft
唱歌|唱歌[chang4 ge1]	hát; ca hát	claude-2026-09	ai-draft
車|车[che1]	xe; xe cộ (ô tô, xe đạp, xe buýt…)/máy; guồng (có bánh quay)/tiện (gia công bằng máy tiện)/Lượng từ: 辆 (liàng)	claude-2026-09	ai-draft
車票|车票[che1 piao4]	vé xe; vé tàu	claude-2026-09	ai-draft
車站|车站[che1 zhan4]	nhà ga; ga tàu/bến xe; trạm xe buýt/Lượng từ: 个 (gè), 处 (chù)	claude-2026-09	ai-draft
吃|吃[chi1]	ăn; uống (thuốc)/ăn (tại đâu, vd. 吃食堂: ăn ở nhà ăn)/chịu; bị (thiệt, thua, sốc…; vd. 吃亏: chịu thiệt)/tiêu diệt; diệt; ăn (quân cờ)	claude-2026-09	ai-draft
吃飯|吃饭[chi1 fan4]	ăn cơm; ăn; dùng bữa/kiếm sống; sống (nhờ nghề gì)	claude-2026-09	ai-draft
出|出[chu1]	ra; đi ra; ra ngoài/xảy ra; nảy sinh/sản xuất; làm ra; đưa ra/vượt quá; vượt ra ngoài/(bổ ngữ sau động từ, chỉ hướng ra ngoài hoặc kết quả) ra (vd. 拿出: lấy ra; 看出: nhận ra)/(lượng từ) vở: dùng cho kịch, tuồng, ca kịch (vd. 一出戏: một vở kịch)	claude-2026-09	ai-draft
出來|出来[chu1 lai2]	ra; đi ra (hướng về phía người nói)/xuất hiện; hiện ra; nảy sinh	claude-2026-09	ai-draft
出去|出去[chu1 qu4]	ra ngoài; đi ra (rời xa người nói)	claude-2026-09	ai-draft
穿|穿[chuan1]	mặc (quần áo); đi; mang (giày, tất…)/xuyên qua; đâm thủng/đi qua; băng qua (đường, đường hầm…)/xâu; xỏ (chỉ, chuỗi)/(bổ ngữ sau động từ, chỉ triệt để) thấu; thủng (vd. 看穿: nhìn thấu)	claude-2026-09	ai-draft
床|床[chuang2]	giường/(lượng từ) cái; chiếc: dùng cho chăn, mền…/Lượng từ: 张 (zhāng)	claude-2026-09	ai-draft
次|次[ci4]	(lượng từ) lần; lượt: dùng để đếm số lần sự việc xảy ra/tiếp theo; thứ hai; kế (vd. 次日: ngày hôm sau)/thứ yếu; phụ/kém; hạng kém (chất lượng)/thứ tự; trình tự	claude-2026-09	ai-draft
從|从[cong2]	(giới từ chỉ điểm bắt đầu về nơi chốn, thời gian) từ (vd. 从北京来: đến từ Bắc Kinh)/qua; theo (lối nào, vd. 从这儿走: đi lối này)/(trước từ phủ định) xưa nay; từ trước đến nay (vd. 从不: không bao giờ; 从没: chưa bao giờ)/(trong từ ghép) theo; đi theo; tuân theo; tham gia (việc gì)	claude-2026-09	ai-draft
錯|错[cuo4]	sai; nhầm/lỗi; chỗ sai/xấu; tồi (thường dùng trong 不错: không tệ, khá tốt)/lỡ; bỏ lỡ (vd. 错过机会: lỡ cơ hội)/xen kẽ; so le	claude-2026-09	ai-draft
打|打[da3]	đánh; đập; gõ/đánh nhau; đấu/(động từ đa dụng, nghĩa tuỳ tân ngữ) gọi (điện thoại), chơi (bóng), bắt (xe), che (ô), tiêm (thuốc)…/(khẩu ngữ) từ; kể từ	claude-2026-09	ai-draft
打車|打车[da3 che1]	bắt taxi; gọi taxi/đi nhờ xe; quá giang	claude-2026-09	ai-draft
打電話|打电话[da3 dian4 hua4]	gọi điện thoại; gọi điện	claude-2026-09	ai-draft
打開|打开[da3 kai1]	mở; mở ra/bật (đèn, máy, tivi…)	claude-2026-09	ai-draft
打球|打球[da3 qiu2]	chơi bóng (bóng rổ, bóng bàn, quần vợt…; bóng đá thì dùng 踢球)	claude-2026-09	ai-draft
大|大[da4]	to; lớn/lớn tuổi hơn; cả (vd. 大姐: chị cả)/rất; mạnh; thoả thích (đặt trước động từ, vd. 大笑: cười to)	claude-2026-09	ai-draft
大學|大学[da4 xue2]	đại học; trường đại học/Lượng từ: 所 (suǒ)	claude-2026-09	ai-draft
大學生|大学生[da4 xue2 sheng1]	sinh viên; sinh viên đại học	claude-2026-09	ai-draft
到|到[dao4]	đến; tới (nơi nào)/đi (đến đâu)/đến; cho đến (nơi chốn, thời điểm, mức độ)/(bổ ngữ sau động từ, chỉ đạt được kết quả) được; thấy; tới (vd. 买到: mua được; 看到: nhìn thấy)/chu đáo; chu toàn	claude-2026-09	ai-draft
得到|得到[de2 dao4]	được; nhận được; đạt được; có được	claude-2026-09	ai-draft
地|地[de5]	(trợ từ đặt sau từ ngữ chỉ cách thức, trước động từ hoặc tính từ; thường không dịch, vd. 高兴地说: vui vẻ nói; 慢慢地走: đi chầm chậm)	claude-2026-09	ai-draft
的|的[de5]	(trợ từ nối định ngữ với danh từ) của (vd. 我的书: sách của tôi; sau tính từ thường không dịch, vd. 好看的衣服: quần áo đẹp)/(trợ từ đặt sau từ ngữ để tạo cụm danh từ) cái …; người …; thứ … (vd. 新的: cái mới; 卖菜的: người bán rau)/(trợ từ cuối câu, nhấn mạnh; hay dùng trong mẫu 是…的 để nhấn mạnh thời gian, nơi chốn, cách thức của việc đã xảy ra, vd. 我是坐飞机来的: tôi đến bằng máy bay)	claude-2026-09	ai-draft
等|等[deng3]	đợi; chờ; chờ đợi (vd. 等一下: đợi một chút)/đợi đến khi; đến lúc; khi (vd. 等我回来再说: đợi tôi về rồi hãy nói)/(trợ từ đặt sau phần liệt kê, khi liệt kê chưa hết hoặc khi khép lại phần liệt kê) vân vân; v.v.; như (vd. 北京、上海等城市: các thành phố như Bắc Kinh, Thượng Hải)/hạng; bậc; cấp; loại (vd. 一等奖: giải nhất)/bằng; ngang bằng (vd. 平等: bình đẳng)	claude-2026-09	ai-draft
地|地[di4]	đất; mặt đất; sàn (nhà)/ruộng; đất đai/nơi; chỗ; vùng/Lượng từ: 片 (piàn)	claude-2026-09	ai-draft
地點|地点[di4 dian3]	địa điểm; nơi; chỗ/Lượng từ: 个 (gè)	claude-2026-09	ai-draft
地方|地方[di4 fang5]	nơi; chỗ; vùng; khu vực/chỗ; điểm; mặt (của sự việc, vd. 不对的地方: chỗ không đúng)/Lượng từ: 个 (gè), 处 (chù)	claude-2026-09	ai-draft
地上|地上[di4 shang5]	trên mặt đất; trên sàn (nhà)	claude-2026-09	ai-draft
地圖|地图[di4 tu2]	bản đồ/Lượng từ: 张 (zhāng), 本 (běn)	claude-2026-09	ai-draft
弟弟|弟弟[di4 di5]	em trai/Lượng từ: 个 (gè), 位 (wèi)	claude-2026-09	ai-draft
弟|弟[di4]	em trai/em; đàn em (nam giới ít tuổi hơn, vd. 表弟: em họ)	claude-2026-09	ai-draft
第|第[di4]	(tiền tố chỉ số thứ tự) thứ (vd. 第一: thứ nhất; 第六: thứ sáu)	claude-2026-09	ai-draft
第二|第二[di4 er4]	thứ hai; thứ nhì (thứ tự)/tiếp theo; sau (vd. 第二天: ngày hôm sau)/thứ yếu; phụ	claude-2026-09	ai-draft
點|点[dian3]	(sau số đếm) giờ (vd. 三点: ba giờ)/một chút; một ít (vd. 一点儿: một chút; 快点: nhanh lên chút)/(lượng từ) chút; tí: dùng cho lượng nhỏ/gọi (món); chọn/chấm; điểm; vết; nét chấm (trong chữ Hán)/dấu thập phân (vd. 三点五: ba phẩy năm)/điểm; thời điểm; địa điểm/đánh dấu; tích (vào danh sách); điểm (danh)/gật (đầu)/châm; thắp (lửa, đèn)/nhắc đến; nêu ra; gợi ý; ám chỉ/chạm nhẹ; chấm nhẹ; nhỏ (thuốc từng giọt)	claude-2026-09	ai-draft
電|电[dian4]	điện/sét; chớp/giật (điện); bị điện giật (vd. 电了一下: bị điện giật một cái)/điện báo; cuộc gọi (điện thoại)/gửi điện báo; gọi điện (báo tin)	claude-2026-09	ai-draft
電話|电话[dian4 hua4]	điện thoại/cuộc gọi điện thoại/số điện thoại/Lượng từ: 部 (bù), 通 (tōng)	claude-2026-09	ai-draft
電腦|电脑[dian4 nao3]	máy tính; máy vi tính/Lượng từ: 台 (tái)	claude-2026-09	ai-draft
電視|电视[dian4 shi4]	tivi; truyền hình/Lượng từ: 台 (tái), 部 (bù)	claude-2026-09	ai-draft
電視機|电视机[dian4 shi4 ji1]	tivi; máy thu hình/Lượng từ: 台 (tái)	claude-2026-09	ai-draft
電影|电影[dian4 ying3]	phim; phim ảnh; điện ảnh/Lượng từ: 部 (bù), 场 (chǎng)	claude-2026-09	ai-draft
電影院|电影院[dian4 ying3 yuan4]	rạp chiếu phim; rạp phim/Lượng từ: 家 (jiā), 座 (zuò)	claude-2026-09	ai-draft
東|东[dong1]	đông; phía đông; phương đông/chủ; chủ nhà (người đãi khách hoặc chủ cho thuê nhà)	claude-2026-09	ai-draft
東邊|东边[dong1 bian5]	phía đông; bên phía đông; phần phía đông	claude-2026-09	ai-draft
東西|东西[dong1 xi5]	đồ; đồ vật; đồ đạc; thứ/(chỉ người, mang ý mắng hoặc âu yếm) đồ; thằng; con (vd. 小东西: nhóc con)/Lượng từ: 个 (gè), 件 (jiàn)	claude-2026-09	ai-draft
動|动[dong4]	động; cử động; nhúc nhích; di chuyển/đụng; chạm; động (vào)/dùng; động đến (vd. 动脑子: động não)/làm cảm động; lay động (cảm xúc)/thay đổi; sửa đổi/(viết tắt của 动词) động từ	claude-2026-09	ai-draft
動作|动作[dong4 zuo4]	động tác; cử động; hành động/hành động; ra tay (làm việc gì)/Lượng từ: 个 (gè)	claude-2026-09	ai-draft
都|都[dou1]	(phó từ chỉ toàn bộ, đặt trước động từ) đều; tất cả; cả (vd. 我们都是学生: chúng tôi đều là học sinh)/(nhấn mạnh, thường trong 连…都) ngay cả; thậm chí; cũng/đã (vd. 都十点了: đã mười giờ rồi)/(dùng với phủ định) hoàn toàn (không); chẳng … chút nào	claude-2026-09	ai-draft
讀|读[du2]	đọc to; đọc thành tiếng/đọc (sách, báo…)/học; đi học (vd. 读大学: học đại học)/đọc là; phát âm	claude-2026-09	ai-draft
讀書|读书[du2 shu1]	đọc sách/học; học hành/đi học	claude-2026-09	ai-draft
對|对[dui4]	đúng; phải; chính xác (vd. 你说得对: bạn nói đúng)/(giới từ chỉ đối tượng) với; đối với; về (vd. 他对我很好: anh ấy rất tốt với tôi; 对这个问题: về vấn đề này)/đối xử; đối đãi (với ai)/hướng về; đối diện; đối mặt (vd. 对着窗户: hướng ra cửa sổ)/(lượng từ) đôi; cặp: dùng cho người, vật đi thành đôi (vd. 一对夫妻: một đôi vợ chồng)/đối chiếu; so; kiểm tra (vd. 对答案: so đáp án)/khớp; chỉnh (cho khớp, vd. 对表: chỉnh đồng hồ)/hợp; vừa (vd. 对胃口: hợp khẩu vị)/đáp; trả lời	claude-2026-09	ai-draft
對不起|对不起[dui4 bu5 qi3]	xin lỗi/có lỗi với (ai); phụ lòng (ai)	claude-2026-09	ai-draft
多|多[duo1]	nhiều (vd. 很多人: rất nhiều người)/thừa; dư; quá nhiều (vd. 多了一个: thừa một cái)/(sau số đếm) hơn; mấy (vd. 十多个: hơn mười cái, mười mấy cái; 一年多: hơn một năm)/bao; bao nhiêu; biết bao (hỏi hoặc cảm thán về mức độ, vd. 你多大?: bạn bao nhiêu tuổi?; 多好啊!: tốt biết bao!)/(trong từ ghép) đa-; nhiều (vd. 多媒体: đa phương tiện)	claude-2026-09	ai-draft
多少|多少[duo1 shao5]	bao nhiêu (hỏi số lượng)/số mấy; số bao nhiêu (hỏi số điện thoại, mã số…)	claude-2026-09	ai-draft
餓|饿[e4]	đói/bỏ đói (ai); để (ai) đói	claude-2026-09	ai-draft
兒子|儿子[er2 zi5]	con trai	claude-2026-09	ai-draft
二|二[er4]	hai (2)/(phương ngữ Bắc Kinh) ngốc; ngớ ngẩn	claude-2026-09	ai-draft
飯|饭[fan4]	cơm/bữa ăn; bữa cơm/(khẩu ngữ, từ mượn) người hâm mộ/Lượng từ: 碗 (wǎn), 顿 (dùn)	claude-2026-09	ai-draft
飯店|饭店[fan4 dian4]	nhà hàng; quán ăn/khách sạn/Lượng từ: 家 (jiā), 个 (gè)	claude-2026-09	ai-draft
房間|房间[fang2 jian1]	phòng; buồng/Lượng từ: 个 (gè), 间 (jiān)	claude-2026-09	ai-draft
房子|房子[fang2 zi5]	nhà; ngôi nhà/căn hộ/phòng; buồng/Lượng từ: 栋 (dòng), 幢 (zhuàng), 座 (zuò), 套 (tào), 间 (jiān)	claude-2026-09	ai-draft
放|放[fang4]	đặt; để; bỏ (vào)/thả; buông; thả ra/cho nghỉ; tan (học, làm; vd. 放学: tan học; 放假: được nghỉ)/đốt; bắn (pháo, pháo hoa)/phóng thích; trả tự do	claude-2026-09	ai-draft
放假|放假[fang4 jia4]	được nghỉ; nghỉ (lễ, tết, hè…)	claude-2026-09	ai-draft
放學|放学[fang4 xue2]	tan học; tan trường	claude-2026-09	ai-draft
飛|飞[fei1]	bay	claude-2026-09	ai-draft
飛機|飞机[fei1 ji1]	máy bay/Lượng từ: 架 (jià)	claude-2026-09	ai-draft
非常|非常[fei1 chang2]	rất; vô cùng; cực kỳ/khác thường; bất thường; phi thường	claude-2026-09	ai-draft
分|分[fen1]	phút (đơn vị thời gian, đơn vị đo góc; vd. 五点十分: năm giờ mười phút)/điểm (thi cử, thể thao; vd. 考了九十分: thi được 90 điểm)/xu (đơn vị tiền, bằng 0,01 tệ; vd. 五分钱: năm xu)/chia; tách; chia ra (vd. 分成两半: chia làm đôi)/phân phát; chia; phân (vd. 分东西: chia đồ)/phân biệt (vd. 分清好坏: phân biệt tốt xấu)/phần; phân số (vd. 三分之一: một phần ba)/(trong từ ghép) chi nhánh; phân- (vd. 分公司: công ty chi nhánh)	claude-2026-09	ai-draft
風|风[feng1]	gió/phong tục; tập quán/phong cách; tác phong; kiểu cách/tin tức; tin đồn/Lượng từ: 阵 (zhèn), 丝 (sī)	claude-2026-09	ai-draft
乾|干[gan1]	khô; khô ráo/đồ khô; đồ sấy khô (vd. 牛肉干: thịt bò khô)/cạn; hết sạch; rỗng/nuôi; kết nghĩa (vd. 干妈: mẹ nuôi)/uổng; suông; vô ích	claude-2026-09	ai-draft
乾淨|干净[gan1 jing4]	sạch; sạch sẽ/gọn gàng; ngăn nắp	claude-2026-09	ai-draft
幹|干[gan4]	làm; làm việc/đảm nhiệm; quản lý/giỏi; tháo vát (vd. 能干: giỏi giang)/thân cây; phần chính (của vật)/cán bộ (trong từ 干部)/(tiếng lóng) khử; giết/(thô tục) quan hệ tình dục; cũng dùng để chửi tục	claude-2026-09	ai-draft
幹什麼|干什么[gan4 shen2 me5]	làm gì; làm cái gì (vd. 你在干什么?: bạn đang làm gì thế?)	claude-2026-09	ai-draft
高|高[gao1]	cao/cao (hơn mức bình thường: giá, trình độ, chất lượng…)/to; lớn (tiếng)/(kính ngữ, chỉ người đối diện) cao; quý (vd. 高见: cao kiến)	claude-2026-09	ai-draft
高興|高兴[gao1 xing4]	vui; vui vẻ; mừng/vui lòng; sẵn lòng (làm việc gì)	claude-2026-09	ai-draft
告訴|告诉[gao4 su5]	nói (cho ai biết); bảo; báo cho; cho biết	claude-2026-09	ai-draft
哥哥|哥哥[ge1 ge5]	anh trai; anh/Lượng từ: 个 (gè), 位 (wèi)	claude-2026-09	ai-draft
哥|哥[ge1]	anh trai; anh	claude-2026-09	ai-draft
歌|歌[ge1]	bài hát; bài ca/(trong từ ghép) hát; ca/Lượng từ: 首 (shǒu), 支 (zhī)	claude-2026-09	ai-draft
個|个[ge4]	(lượng từ) cái; chiếc; con; người…: dùng cho danh từ không có lượng từ riêng, là lượng từ thông dụng nhất (vd. 一个人: một người; 三个苹果: ba quả táo)/(trong từ ghép) riêng lẻ; cá nhân (vd. 个人: cá nhân)	claude-2026-09	ai-draft
給|给[gei3]	cho; đưa; tặng/(giới từ, chỉ người nhận hoặc người được giúp) cho; giùm; hộ (vd. 给他打电话: gọi điện cho anh ấy)/cho; để (cho phép ai làm việc gì, vd. 给我看看: cho tôi xem với)/(dùng như 被, trong câu bị động) bị; được/(dùng như 把, đưa tân ngữ lên trước động từ)/(đặt ngay trước động từ, làm câu mạnh hơn, vd. 我给忘了: tôi quên béng mất)	claude-2026-09	ai-draft
跟|跟[gen1]	(giới từ) với; cùng (vd. 跟他说: nói với anh ấy)/(liên từ, nối hai danh từ) và/so với (vd. 跟他一样: giống như anh ấy)/theo; đi theo; theo sát/gót (chân, giày)/(phụ nữ) lấy (ai làm chồng); theo (chồng)	claude-2026-09	ai-draft
工人|工人[gong1 ren2]	công nhân; người lao động/Lượng từ: 个 (gè), 名 (míng)	claude-2026-09	ai-draft
工作|工作[gong1 zuo4]	làm việc/công việc; việc làm; nhiệm vụ/(máy móc) hoạt động; chạy/Lượng từ: 个 (gè), 份 (fèn), 项 (xiàng)	claude-2026-09	ai-draft
關|关[guan1]	đóng; khép (cửa…)/tắt (đèn, máy…)/nhốt; giam (người, con vật)/liên quan; dính dáng (đến)/cửa ải; ải	claude-2026-09	ai-draft
關上|关上[guan1 shang4]	đóng; đóng lại (cửa…)/tắt (đèn, thiết bị điện…)	claude-2026-09	ai-draft
貴|贵[gui4]	đắt; đắt tiền/quý; quý giá; đáng quý/cao quý; sang (địa vị cao)/(kính ngữ, chỉ người đối diện) quý (vd. 您贵姓: ngài họ gì ạ; 贵国: quý quốc)	claude-2026-09	ai-draft
國|国[guo2]	nước; quốc gia; đất nước/(thuộc) quốc gia; quốc- (vd. 国歌: quốc ca)	claude-2026-09	ai-draft
國家|国家[guo2 jia1]	nước; quốc gia; đất nước/Lượng từ: 个 (gè)	claude-2026-09	ai-draft
國外|国外[guo2 wai4]	nước ngoài; ở nước ngoài; hải ngoại	claude-2026-09	ai-draft
過|过[guo4]	qua; đi qua; băng qua/trải qua; trôi qua; qua (thời gian)/ăn (tết); đón (lễ); tổ chức (sinh nhật)/sống; sinh sống; sống qua ngày/quá; quá mức	claude-2026-09	ai-draft
還|还[hai2]	vẫn; vẫn còn/còn; thêm; nữa; cũng/còn … hơn; càng (dùng khi so sánh)/khá; tạm được (vd. 还好: cũng ổn)/ngay từ (thời điểm sớm)/thậm chí; ngay cả	claude-2026-09	ai-draft
還是|还是[hai2 shi5]	(liên từ dùng trong câu hỏi lựa chọn) hay; hay là (vd. 你喝茶还是咖啡: bạn uống trà hay cà phê)/vẫn; vẫn cứ (như trước)/tốt hơn là; nên (vd. 你还是去吧: tốt hơn là bạn nên đi)/vậy mà; thế mà (ngoài dự đoán)	claude-2026-09	ai-draft
還有|还有[hai2 you3]	còn; vẫn còn; còn có/ngoài ra; còn nữa; thêm vào đó	claude-2026-09	ai-draft
孩子|孩子[hai2 zi5]	trẻ em; trẻ con; đứa trẻ/con; con cái (của ai)	claude-2026-09	ai-draft
漢語|汉语[Han4 yu3]	tiếng Hán; tiếng Trung (Quốc); tiếng Hoa/Lượng từ: 门 (mén)	claude-2026-09	ai-draft
漢字|汉字[han4 zi4]	chữ Hán/Lượng từ: 个 (gè)	claude-2026-09	ai-draft
