# Character-level Hán Việt corrections: which reading a character has, by traditional form and pinyin
# License: CC BY-SA 4.0 (https://creativecommons.org/licenses/by-sa/4.0/)
# Drafted by Claude (AI), 2026-09. status "ai-draft" = AI-drafted, awaiting human review ("hiệu đính bởi AI, chờ duyệt");
# "reviewed" = checked by the project owner ("đã hiệu đính") — only the owner sets it. Changes: CHANGELOG.md.
# Format: UTF-8 (NFC), LF, tab-separated. Lines starting with "#" are comments.
# char: the traditional form (the build reads Hán Việt from it). pinyin: CC-CEDICT numbered, lowercase, or "*" for every reading.
# hanviet: the readings to use instead of hanviet-pinyin-words', "|"-separated, the first one shipped, the others searchable
# alternates. vernacular: forms that must never ship as this character's reading ("|"-separated, "-" for none) — the build's
# hv-vernacular gate checks every row, curated word readings included.
# Found by a scan of the word list's first candidates: characters whose shipped reading is a word of their own Vietnamese gloss
# (冷 lạnh "lạnh") with no compound confirming it as Sino-Vietnamese, and every character of an HSK word the list gives several
# readings for; then checked by hand. Unihan kVietnamese cannot be the check: it lists the same vernacular forms.
char	pinyin	hanviet	vernacular	reason	source	status
扛	kang2	giang	gánh	gánh là nghĩa tiếng Việt, không phải âm; âm Hán Việt là giang	claude-2026-09	ai-draft
扛	gang1	giang	khiêng	khiêng là từ thuần Việt gốc Hán; âm Hán Việt là giang	claude-2026-09	ai-draft
繩	sheng2	thằng	thừng	thừng là từ thuần Việt gốc Hán; âm Hán Việt là thằng (chuẩn thằng)	claude-2026-09	ai-draft
狹	*	hiệp	hẹp	hẹp là từ thuần Việt gốc Hán; âm Hán Việt là hiệp (hiệp nghĩa, hiệp trách)	claude-2026-09	ai-draft
縛	fu4	phược	buộc	buộc là từ thuần Việt gốc Hán; âm Hán Việt là phược (thúc phược)	claude-2026-09	ai-draft
霉	mei2	mai	mốc	mốc là nghĩa tiếng Việt, không phải âm; âm Hán Việt là mai (mai vũ)	claude-2026-09	ai-draft
椰	ye1	da	dừa	dừa là từ thuần Việt gốc Hán; âm Hán Việt là da (da tử)	claude-2026-09	ai-draft
撐	cheng1	xanh	chống	chống là nghĩa tiếng Việt, không phải âm; âm Hán Việt là xanh (chi xanh)	claude-2026-09	ai-draft
腔	qiang1	xoang|khang	khoang	khoang là từ thuần Việt gốc Hán; âm Hán Việt là xoang (khẩu xoang), cũng đọc khang	claude-2026-09	ai-draft
馱	tuo2	đà	thồ	thồ là từ thuần Việt gốc Hán; âm Hán Việt là đà	claude-2026-09	ai-draft
扶	fu2	phù	-	âm Hán Việt thông dụng là phù (phù trì, phù trợ); phò là âm Việt hoá	claude-2026-09	ai-draft
呆	dai1	ngai	ngốc	ngốc là nghĩa tiếng Việt, không phải âm; âm Hán Việt là ngai (si ngai)	claude-2026-09	ai-draft
鑽	zuan1	toàn	khoan	khoan là nghĩa tiếng Việt, không phải âm; 鑽 đọc zuān là toàn (toàn nghiên)	claude-2026-09	ai-draft
鑽	zuan4	toản	khoan	khoan là nghĩa tiếng Việt, không phải âm; 鑽 đọc zuàn là toản (toản thạch: kim cương)	claude-2026-09	ai-draft
創	chuang1	sang	thương	創 đọc chuāng (vết thương) là sang (sang thương); thương là âm của 傷	claude-2026-09	ai-draft
獎	*	tưởng	thưởng	âm Hán Việt của 獎 là tưởng (tưởng lệ, bao tưởng); thưởng là âm của 賞	claude-2026-09	ai-draft
兔	tu4	thố	thỏ	thỏ là từ thuần Việt gốc Hán; âm Hán Việt là thố (ngọc thố)	claude-2026-09	ai-draft
籠	long2	lung	lồng	lồng là từ thuần Việt gốc Hán; âm Hán Việt là lung (đăng lung)	claude-2026-09	ai-draft
框	*	khuông	khung	khung là từ thuần Việt gốc Hán; âm Hán Việt là khuông (khuông giá)	claude-2026-09	ai-draft
訝	*	nhạ	ngạc	âm Hán Việt của 訝 là nhạ (kinh nhạ); ngạc là âm của 愕	claude-2026-09	ai-draft
揣	chuai1	suỷ	suy	âm Hán Việt của 揣 là suỷ (suỷ trắc); suy là âm của 推	claude-2026-09	ai-draft
揣	chuai3	suỷ	suy	âm Hán Việt của 揣 là suỷ (suỷ trắc); suy là âm của 推	claude-2026-09	ai-draft
餃	jiao3	giảo	cảo	âm Hán Việt của 餃 là giảo; cảo là âm mượn qua tiếng Quảng Đông (sủi cảo, há cảo)	claude-2026-09	ai-draft
監	jian1	giám|giam	-	監 trong giám sát, giám đốc, giám thị, tổng giám đọc giám; giam (giam cầm) là âm thứ hai	claude-2026-09	ai-draft
奧	ao4	áo	-	âm Hán Việt của 奧 là áo (áo diệu, thâm áo; nước Áo 奧地利)	claude-2026-09	ai-draft
這	zhei4	giá	-	這 đọc zhèi (khẩu ngữ của zhè) có cùng âm Hán Việt giá	claude-2026-09	ai-draft
過	guo5	quá	-	trợ từ 过 phát triển từ nghĩa "vượt qua" (guò), đọc quá như 过去 quá khứ; 經過 kinh qua, 通過 thông qua là từ đã định hình (hanviet-word.tsv)	claude-2026-09	ai-draft
覺	jiao4	giác|giáo	-	睡覺 quen đọc thuỵ giác; giáo (âm của nghĩa tỉnh ngủ theo Thiều Chửu) giữ làm âm tra cứu	claude-2026-09	ai-draft
